column,real_mean,synthetic_mean,mean_abs_diff,real_std,synthetic_std,std_abs_diff,real_min,synthetic_min,real_max,synthetic_max
expected_value,393953.38561999996,559848.4118709681,165895.0262509681,434950.4519467062,647177.9331585495,212227.48121184326,13189.87,13680.923009706738,6266322.63,4497997.693376131
final_value,368330.061078,460216.9550443171,91886.89396631712,407627.2237629464,505329.9596653188,97702.7359023724,10291.33,10647.5727322793,5835594.71,3391329.992198442
price_reduction_percent,6.48082,8.03065393104062,1.5498339310406202,5.695709956623669,6.185101464361662,0.48939150773799334,0.0,0.0050397157686093,29.6,25.986655244069805
number_of_bidders,3.5394,4.06576234832278,0.5263623483227797,2.3530310221070607,2.2778105874519694,0.07522043465509132,1.0,1.0,8.0,7.995790968398528
supplier_previous_wins,7.974,12.284222735472948,4.310222735472948,2.812704439014567,2.7214639845230564,0.09124045449151064,0.0,5.629354479609356,21.0,19.71248138889587
buyer_previous_tenders,20.0128,20.60543092166289,0.5926309216628916,4.465671797716552,2.7784117536432626,1.6872600440732892,5.0,12.920426371188512,37.0,28.54909897586495
contract_days,89.3456,82.18060024944556,7.164999750554443,35.03154010888588,29.931476690513485,5.100063418372393,10.0,15.729203373487548,205.0,167.82813430641835
risk_score,19.634,11.848185087495196,7.785814912504804,26.408625998060202,20.703644742117007,5.704981255943196,0.0,7.092952729105949e-05,85.0,82.7889138557558
risk_label,0.1448,0.07523225412499174,0.06956774587500827,0.35193427162796925,0.2549933175509227,0.09694095407704656,0.0,0.0,1.0,1.00000001
region_Aktobe,0.1234,0.16791523797342192,0.044515237973421926,0.32892868347981324,0.3560129419322674,0.027084258452454157,0.0,0.0,1.0,1.00000001
region_Almaty,0.1212,0.12476243978331468,0.0035624397833146776,0.3263921971697159,0.3173234380275451,0.009068759142170812,0.0,0.0,1.0,1.00000001
region_Astana,0.1214,0.10384253111016067,0.01755746888983932,0.3266242132410503,0.28784897748590926,0.038775235755141024,0.0,0.0,1.0,1.00000001
region_Atyrau,0.1272,0.14334940100014437,0.016149401000144364,0.3332302034235413,0.33646410181500697,0.0032338983914656505,0.0,0.0,1.0,1.00000001
region_Karaganda,0.1284,0.13462290818011616,0.006222908180116171,0.3345681203662912,0.32970920234637524,0.004858918019915948,0.0,0.0,1.0,1.00000001
region_Kostanay,0.1288,0.17921795699404378,0.05041795699404378,0.3350119499380884,0.37192594585764716,0.03691399591955874,0.0,0.0,1.0,1.00000001
region_Pavlodar,0.1276,0.17884459689290189,0.051244596892901895,0.3336772513996427,0.37133351237915085,0.03765626097950814,0.0,0.0,1.0,1.00000001
region_Shymkent,0.122,0.0015277050588313498,0.12047229494116865,0.32731854131029164,0.012033149057003248,0.3152853922532884,0.0,0.0,1.0,0.2618132259801012
procedure_type_direct_award,0.1632,0.09244779756725827,0.07075220243274175,0.36958500864580957,0.28091414045038954,0.08867086819542003,0.0,0.0,1.0,1.00000001
procedure_type_limited_tender,0.1638,0.2213421028634931,0.057542102863493094,0.3701310030136335,0.4039441774651198,0.033813174451486294,0.0,0.0,1.0,1.00000001
procedure_type_negotiation,0.0836,0.0024847646306081854,0.0811152353693918,0.27681467676598115,0.005099527125386117,0.271715149640595,0.0,0.0,1.0,0.0415768627509737
procedure_type_open_tender,0.5894,0.6848438816903673,0.09544388169036722,0.49199192189531127,0.45196665535243824,0.04002526654287303,0.0,0.0,1.0,1.00000001
