,expected_value,final_value,price_reduction_percent,number_of_bidders,supplier_previous_wins,buyer_previous_tenders,contract_days,risk_score,risk_label,region_Aktobe,region_Almaty,region_Astana,region_Atyrau,region_Karaganda,region_Kostanay,region_Pavlodar,region_Shymkent,procedure_type_direct_award,procedure_type_limited_tender,procedure_type_negotiation,procedure_type_open_tender
expected_value,1.0,0.9968647269213297,0.0037086732125920134,-0.009235375731761258,-0.0244275839310889,-0.002181466719769665,-0.005440149629879578,0.06320571607003053,0.018282612683942424,-0.000952587941997714,-0.006809743175900926,-0.009816692182972932,-0.011890796903353776,0.013831889529446147,0.017332431983776864,-0.011723597304190387,0.009722453124938761,-0.009674610676969987,-0.01351916686701647,0.009205719872691082,0.012258688046948268
final_value,0.9968647269213297,1.0,-0.05128944088239543,-0.02763609150653678,-0.024276550486327528,-0.0032813818786663917,-0.007870428041168146,0.09484766418501152,0.040285788737916994,-0.0023776804211911003,-0.006836412479368565,-0.008281917316459724,-0.012604476118066183,0.015450812711152883,0.016994385232507386,-0.01055785927319468,0.007879027567582174,0.010767965558531503,-0.009880412405452618,0.013723823936870163,-0.008377348069922285
price_reduction_percent,0.0037086732125920134,-0.05128944088239543,1.0,0.34288675548696523,0.007940199274452523,0.011929866239375602,0.022749782088239807,-0.5861997956991423,-0.3929679088568991,0.02147170309913968,-0.021599059985441756,-0.02699567779994881,0.011305682011513326,0.004979321427242684,0.0023778722209390982,-0.0121057007528562,0.020206652595079228,-0.3822964545575453,-0.06512591585003655,-0.076184384475376,0.37904100958291065
number_of_bidders,-0.009235375731761258,-0.02763609150653678,0.34288675548696523,1.0,0.0014544834385428443,0.02757493084748169,0.020559458009268554,-0.6439230558756788,-0.4441169319617465,0.00909513602472038,-0.01715849926404175,0.021755297362043947,0.017843515202445783,-0.015575008280002814,-0.0006023327052404081,-0.017869443801157882,0.002848176145911145,-0.47664620282241343,-0.3097927094681207,-0.25965571670581605,0.7372106622522921
supplier_previous_wins,-0.0244275839310889,-0.024276550486327528,0.007940199274452523,0.0014544834385428443,1.0,-0.009624638550552712,0.019034777184351977,-0.005931692785843162,-0.02367935521190168,0.005414520833225777,0.025876680157858486,-0.013983025956963728,0.0028889415298331816,0.007162011272616426,-0.016825369712045953,-0.01223682759803375,0.002142392663811032,-0.0032297870490251997,-0.010895980418775373,0.007159941167191184,0.006594913638617193
buyer_previous_tenders,-0.002181466719769665,-0.0032813818786663917,0.011929866239375602,0.02757493084748169,-0.009624638550552712,1.0,-0.023455462456588746,-0.01760103987288773,-0.02116289532901553,0.002465269892507555,-0.007789475134803863,0.016900499602118653,0.01947295166164925,0.0389326191922184,-0.017147630203011764,-0.018951116513416973,-0.0343242328538157,-0.017143626672841087,-0.0032051256354789495,0.00803446018234453,0.010769053401469397
contract_days,-0.005440149629879578,-0.007870428041168146,0.022749782088239807,0.020559458009268554,0.019034777184351977,-0.023455462456588746,1.0,-0.03152550545087653,-0.03154570422572763,-0.0033198901971815483,0.0018643959865838468,-0.0030206521402375286,0.006926404716792086,-0.011518516404082323,-0.002992531549239312,0.008513936432250544,0.003597012823278429,-0.02614243930706871,-0.002253165145762346,0.013048361032613868,0.013991778695459757
risk_score,0.06320571607003053,0.09484766418501152,-0.5861997956991423,-0.6439230558756788,-0.005931692785843162,-0.01760103987288773,-0.03152550545087653,1.0,0.7935648910270189,-0.01103484356757925,0.015706849144261785,-0.015140077775321172,0.002677216539189064,0.0065651184277073305,0.0012594970094470042,0.013246198913154828,-0.01369403323202243,0.7730594970499786,-0.02742837716522762,0.3144958345360671,-0.7370368390077923
risk_label,0.018282612683942424,0.040285788737916994,-0.3929679088568991,-0.4441169319617465,-0.02367935521190168,-0.02116289532901553,-0.03154570422572763,0.7935648910270189,1.0,0.002865779981912496,0.02133507453102709,-0.010256226012152734,0.006664638328856625,-0.0033325847206410924,-0.0038195225978833237,0.009569285569198673,-0.02314459999897596,0.6964481776316683,-0.18058208397412534,0.18782870360157103,-0.4929989883252123
region_Aktobe,-0.000952587941997714,-0.0023776804211911003,0.02147170309913968,0.00909513602472038,0.005414520833225777,0.002465269892507555,-0.0033198901971815483,-0.01103484356757925,0.002865779981912496,1.0,-0.13933593379567355,-0.13946672108443384,-0.14323298195463427,-0.14400605320208854,-0.14426329416791953,-0.14349089863142592,-0.13985870546166004,-0.0027881537090427887,-0.006678477469253416,-0.007867822969774646,0.011545515274537285
