,expected_value,final_value,price_reduction_percent,number_of_bidders,supplier_previous_wins,buyer_previous_tenders,contract_days,risk_score,risk_label,region_Aktobe,region_Almaty,region_Astana,region_Atyrau,region_Karaganda,region_Kostanay,region_Pavlodar,region_Shymkent,procedure_type_direct_award,procedure_type_limited_tender,procedure_type_negotiation,procedure_type_open_tender
expected_value,1.0,0.9534340717001037,0.2665492715828922,0.14887223882487302,-0.0825910601607476,0.1317824432596865,0.03229507469155894,-0.11723714923300697,-0.12729999319405894,0.5531168819828662,0.039054486743589426,-0.090022809097882,0.03114449222648101,-0.2624828825834771,-0.14945322178392847,-0.10706807396056067,0.018792732801663724,-0.12236790501053493,-0.07012060073510396,0.4015290780262784,0.13227128685266096
final_value,0.9534340717001037,1.0,0.17735673150425796,0.0808580733335181,-0.14064543373383195,0.11225185434582159,0.06279798360761009,-0.06534455083756625,-0.11875156139012111,0.4360657782766619,0.06772827959446175,-0.016305022500490676,0.0873072038647789,-0.2661670162552829,-0.1615683498147,-0.10609113369182659,0.05323322916656447,-0.10643971864471914,-0.04703511604538217,0.39781832618426344,0.10402108494282107
price_reduction_percent,0.2665492715828922,0.17735673150425796,1.0,0.35733379460786807,0.14085280878184278,0.08028976869892973,0.07589534219470637,-0.5578269748156136,-0.3156078836393707,0.2546153364160831,-0.16838790095445863,-0.05159864941969729,-0.115898184889567,0.02901120489496391,0.06636048216656835,-0.030129593387502304,-0.09370326062969539,-0.34965617718559283,-0.21261481092003046,0.16977002563149093,0.4044153554413317
number_of_bidders,0.14887223882487302,0.0808580733335181,0.35733379460786807,1.0,-0.09274881724408487,0.048474300021747414,-0.057428400959209536,-0.5469956093188203,-0.32771193191112863,0.020204334615093005,-0.15404862703490527,-0.17835040534017577,0.07450972956526418,0.016913556715524258,0.1003671431664467,0.07115471133934118,-0.15295092884155317,-0.40012626127274203,-0.49069998012479,0.20972658378888653,0.6892896853302897
supplier_previous_wins,-0.0825910601607476,-0.14064543373383195,0.14085280878184278,-0.09274881724408487,1.0,-0.07201562357679035,0.03150145412180353,-0.15645096800365216,-0.15334346418800432,0.17988054958410837,-0.0978051285911852,0.3720308206323851,-0.43967862719819006,0.01683464094237939,-0.04302424357594362,0.049854403296182646,-0.04878872989329363,-0.13593436313329602,0.1055100205575164,-0.09489571959631328,-0.011750233740714645
buyer_previous_tenders,0.1317824432596865,0.11225185434582159,0.08028976869892973,0.048474300021747414,-0.07201562357679035,1.0,-0.40400981296929794,0.11187970408682714,0.1982784465897181,0.2776777252808323,0.01899752970370112,-0.10429691640806943,-0.1491190487445075,0.41203215232310275,-0.11608977077295012,-0.2915448532371596,0.020692682899462647,0.1522662739041384,-0.2449354075418038,0.11948177645405428,0.11971197054533642
contract_days,0.03229507469155894,0.06279798360761009,0.07589534219470637,-0.057428400959209536,0.03150145412180353,-0.40400981296929794,1.0,-0.13243109983790938,-0.21345250039913077,0.03499789500564252,-0.046120380728094386,0.1294500908991163,0.18165341051382122,-0.26737596282544474,-0.27330721074144926,0.25376134390438043,0.028026683587927308,-0.18894208359689477,0.21992108523652143,0.07695219122784949,-0.07803896063768397
risk_score,-0.11723714923300697,-0.06534455083756625,-0.5578269748156136,-0.5469956093188203,-0.15645096800365216,0.11187970408682714,-0.13243109983790938,1.0,0.7759416837481773,-0.023873704740119295,0.16448615387874674,-0.010193542722176211,0.06167919705505065,-0.018834056945803927,-0.11898986357820074,-0.02818247045343415,0.13269682362019417,0.8394011485788072,0.12780513413061784,-0.16987203180664454,-0.6351760892801432
risk_label,-0.12729999319405894,-0.11875156139012111,-0.3156078836393707,-0.32771193191112863,-0.15334346418800432,0.1982784465897181,-0.21345250039913077,0.7759416837481773,1.0,-0.03684031073689289,0.11029697186586034,-0.015587537997399935,-0.004248875385203167,0.05722906919163344,-0.0930860784778387,0.007944203594816198,0.015027649217475719,0.8689101570688602,-0.16086407418611495,-0.12002662755635062,-0.3969293935746226
region_Aktobe,0.5531168819828662,0.4360657782766619,0.2546153364160831,0.020204334615093005,0.17988054958410837,0.2776777252808323,0.03499789500564252,-0.023873704740119295,-0.03684031073689289,1.0,-0.14083175011141283,-0.14536564568811783,-0.1644021341387652,-0.1586034342560287,-0.20864550968171772,-0.19979784491650326,-0.01727095094868984,-0.017701541136872827,-0.007947726395235201,0.268490803096426,0.01612818667505853
